engine,join_level,median_planning_ms,median_execution_ms,median_total_ms,mean_total_ms,stddev_total_ms,n_success,n_fail
cedardb,1,38.942,618557.424,618596.366,618596.366,5924.699,2,0
cedardb,16,41.745,710337.625,710379.369,715804.220,19398.333,10,0
cedardb,32,46.691,756647.025,756693.263,753199.756,17014.899,10,0
cedardb,64,56.386,861008.667,861069.465,865590.672,18906.365,10,0
cedardb,128,76.808,1019991.140,1020071.866,1020411.082,22922.706,10,0
duckdb,1,320.572,2830.704,3181.011,3191.224,128.251,10,0
duckdb,2,365.014,2809.697,3185.256,3190.777,116.023,10,0
duckdb,4,392.571,2851.776,3294.592,3223.365,159.308,10,0
duckdb,8,322.930,2871.618,3213.507,3209.311,116.524,10,0
duckdb,16,318.398,3944.231,4265.187,4254.936,132.715,10,0
duckdb,32,322.162,4953.599,5285.413,5328.914,110.289,10,0
duckdb,64,335.266,8196.923,8588.926,8581.885,106.430,10,0
duckdb,128,371.266,15057.236,15431.186,15390.495,102.476,10,0
duckdb,256,480.625,29089.509,29677.154,29655.708,292.049,10,0
duckdb,512,687.139,53845.508,54613.466,54562.118,315.158,10,0
duckdb,1024,1442.245,99694.347,101132.966,101038.280,505.110,10,0
duckdb,2048,3975.345,212387.251,216370.133,216537.427,664.036,10,0
monetdb,16,33.453,89685.932,89719.792,90004.297,5565.403,10,0
monetdb,32,36.471,97515.375,97551.747,98176.137,2445.670,10,0
monetdb,64,39.234,104864.254,104906.235,105131.279,2263.318,10,0
monetdb,128,51.512,145849.532,145901.485,145827.720,919.987,10,0
