suite,engine,run_idx,n_queries,total_time_s
tpcds_sf100,cedardb,1,98,3.693693
tpcds_sf100,cedardb,10,98,3.715778
tpcds_sf100,cedardb,2,98,3.830772
tpcds_sf100,cedardb,3,98,3.795996
tpcds_sf100,cedardb,4,98,3.737319
tpcds_sf100,cedardb,5,98,3.706017
tpcds_sf100,cedardb,6,98,3.713302
tpcds_sf100,cedardb,7,98,3.752250
tpcds_sf100,cedardb,8,98,3.779007
tpcds_sf100,cedardb,9,98,3.723145
tpcds_sf100,duckdb,1,98,105.983409
tpcds_sf100,duckdb,10,98,105.539357
tpcds_sf100,duckdb,2,98,104.283738
tpcds_sf100,duckdb,3,98,104.697960
tpcds_sf100,duckdb,4,98,103.761564
tpcds_sf100,duckdb,5,98,104.420936
tpcds_sf100,duckdb,6,98,104.786510
tpcds_sf100,duckdb,7,98,105.249982
tpcds_sf100,duckdb,8,98,105.298566
tpcds_sf100,duckdb,9,98,106.788896
tpcds_sf100,monetdb,1,98,1391.339489
tpcds_sf100,monetdb,10,98,1388.833876
tpcds_sf100,monetdb,2,98,1387.650102
tpcds_sf100,monetdb,3,98,1415.419445
tpcds_sf100,monetdb,4,98,1409.526499
tpcds_sf100,monetdb,5,98,1384.645360
tpcds_sf100,monetdb,6,98,1388.891245
tpcds_sf100,monetdb,7,98,1357.319554
tpcds_sf100,monetdb,8,98,1428.649252
tpcds_sf100,monetdb,9,98,1467.151150
